,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007.0,80000.0,45000.0,Petrol
1,Mahindra Jeep CL550,Mahindra,2006.0,425000.0,40.0,Diesel
2,Maruti Suzuki Alto,Maruti,2018.0,,22000.0,Petrol
3,Hyundai Grand i10,Hyundai,2014.0,325000.0,28000.0,Petrol
4,Ford EcoSport Titanium,Ford,2014.0,575000.0,36000.0,Diesel
5,Ford EcoSport Titanium,Ford,2015.0,,59000.0,Diesel
6,Ford Figo,Ford,2012.0,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013.0,190000.0,25000.0,Petrol
8,Ford EcoSport Ambiente,Ford,2016.0,830000.0,24530.0,Diesel
9,Maruti Suzuki Alto,Maruti,2015.0,250000.0,60000.0,Petrol
10,Skoda Fabia Classic,Skoda,2010.0,182000.0,60000.0,Petrol
11,Maruti Suzuki Stingray,Maruti,2015.0,315000.0,30000.0,Petrol
12,Hyundai Elite i20,Hyundai,2014.0,415000.0,32000.0,Petrol
13,Mahindra Scorpio SLE,Mahindra,2015.0,320000.0,48660.0,Diesel
14,Audi A8,Audi,2017.0,1000000.0,4000.0,Petrol
15,Audi Q7,Audi,2014.0,500000.0,16934.0,Diesel
16,Mahindra Scorpio S10,Mahindra,2016.0,350000.0,43000.0,Diesel
17,Maruti Suzuki Alto,Maruti,2014.0,160000.0,35550.0,Petrol
18,Mahindra Scorpio S10,Mahindra,2016.0,310000.0,39522.0,Diesel
19,Maruti Suzuki Alto,Maruti,2015.0,75000.0,39000.0,Petrol
20,Hyundai i20 Sportz,Hyundai,2012.0,100000.0,55000.0,Petrol
21,Maruti Suzuki Alto,Maruti,2017.0,190000.0,72000.0,Petrol
22,Maruti Suzuki Vitara,Maruti,2016.0,290000.0,15975.0,Diesel
23,Maruti Suzuki Alto,Maruti,2008.0,95000.0,70000.0,Petrol
24,Mahindra Bolero DI,Mahindra,2017.0,180000.0,23452.0,Diesel
25,Maruti Suzuki Swift,Maruti,2014.0,385000.0,35522.0,Diesel
26,Mahindra Scorpio S10,Mahindra,2015.0,250000.0,48508.0,Diesel
27,Maruti Suzuki Swift,Maruti,2017.0,180000.0,15487.0,Petrol
28,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
29,Maruti Suzuki Wagon,Maruti,2013.0,105000.0,39000.0,Petrol
30,Toyota Innova 2.0,Toyota,2012.0,650000.0,82000.0,Diesel
31,Renault Lodgy 85,Renault,2018.0,689999.0,20000.0,Diesel
32,Skoda Yeti Ambition,Skoda,2012.0,448000.0,68000.0,Diesel
33,Maruti Suzuki Baleno,Maruti,2017.0,549000.0,32000.0,Diesel
34,Renault Duster 110,Renault,2012.0,501000.0,38000.0,Diesel
35,Renault Duster 85,Renault,2013.0,489999.0,27000.0,Diesel
36,Honda City 1.5,Honda,2011.0,280000.0,33000.0,Petrol
37,Maruti Suzuki Dzire,Maruti,2013.0,349999.0,46000.0,Diesel
38,Honda Amaze,Honda,2013.0,284999.0,46000.0,Diesel
39,Honda Amaze 1.5,Honda,2015.0,345000.0,36000.0,Diesel
40,Honda City,Honda,2015.0,499999.0,55000.0,Petrol
41,Datsun Redi GO,Datsun,2017.0,235000.0,16000.0,Petrol
42,Maruti Suzuki SX4,Maruti,2010.0,249999.0,36000.0,Petrol
43,Mitsubishi Pajero Sport,Mitsubishi,2015.0,1475000.0,47000.0,Diesel
44,Mahindra Scorpio S10,Mahindra,2015.0,395000.0,35000.0,Diesel
45,Maruti Suzuki Swift,Maruti,2017.0,220000.0,30874.0,Petrol
46,Honda City ZX,Honda,2017.0,170000.0,15000.0,Diesel
47,Maruti Suzuki Wagon,Maruti,2013.0,85000.0,29685.0,Petrol
48,Tata Indigo eCS,Tata,2017.0,200000.0,130000.0,Diesel
49,Mahindra Scorpio SLE,Mahindra,2012.0,570000.0,19000.0,Diesel
50,Volkswagen Polo Highline,Volkswagen,2014.0,315000.0,60000.0,Petrol
51,I want to,I,2017.0,,,Diesel
52,Chevrolet Spark LS,Chevrolet,2010.0,110000.0,41000.0,Petrol
53,Renault Duster 110PS,Renault,2012.0,501000.0,35000.0,Diesel
54,Honda City,Honda,2015.0,448999.0,54000.0,Petrol
55,Mini Cooper S,Mini,2013.0,1891111.0,13000.0,Petrol
56,Skoda Fabia 1.2L,Skoda,2011.0,159500.0,38200.0,Diesel
57,Honda Amaze,Honda,2015.0,344999.0,22000.0,Petrol
58,Renault Duster,Renault,2014.0,449999.0,50000.0,Diesel
59,Mini Cooper S,Mini,2013.0,1891111.0,13500.0,Petrol
60,Mahindra Scorpio S4,Mahindra,2015.0,865000.0,30000.0,Diesel
61,Mahindra Scorpio VLX,Mahindra,2014.0,699000.0,50000.0,Diesel
62,Mahindra Quanto C8,Mahindra,2013.0,375000.0,20000.0,Diesel
63,Ford EcoSport,Ford,2017.0,489999.0,39000.0,Petrol
64,Honda Brio,Honda,2012.0,224999.0,30000.0,Petrol
65,Volkswagen Vento Highline,Volkswagen,2019.0,1200000.0,3600.0,Diesel
66,Hyundai i20 Magna,Hyundai,2009.0,195000.0,32000.0,Petrol
67,Toyota Corolla Altis,Toyota,2010.0,351000.0,38000.0,Diesel
68,Hyundai Verna Transform,Hyundai,2008.0,160000.0,45000.0,Petrol
69,Toyota Corolla Altis,Toyota,2009.0,240000.0,35000.0,Petrol
70,Honda City 1.5,Honda,2005.0,90000.0,50000.0,Petrol
71,Skoda Fabia 1.2L,Skoda,2011.0,155000.0,45863.0,Diesel
72,BMW 3 Series,BMW,2011.0,600000.0,60500.0,Petrol
73,Maruti Suzuki A,Maruti,2011.0,189500.0,12500.0,Petrol
74,Toyota Etios GD,Toyota,2013.0,350000.0,60000.0,Diesel
75,Ford Figo Diesel,Ford,2012.0,210000.0,35000.0,Diesel
76,Maruti Suzuki Swift,Maruti,2014.0,390000.0,35000.0,Petrol
77,Chevrolet Beat LT,Chevrolet,2012.0,135000.0,45000.0,Diesel
78,BMW 7 Series,BMW,2009.0,1600000.0,35000.0,Petrol
79,Mahindra XUV500 W8,Mahindra,2013.0,701000.0,38000.0,Diesel
80,Hyundai i10 Magna,Hyundai,2014.0,265000.0,18000.0,Petrol
81,Hyundai Verna Fluidic,Hyundai,2015.0,525000.0,35000.0,Diesel
82,Maruti Suzuki Swift,Maruti,2013.0,372000.0,13349.0,Petrol
83,Maruti Suzuki Ertiga,Maruti,2016.0,635000.0,29000.0,Petrol
84,Ford EcoSport Titanium,Ford,2014.0,550000.0,44000.0,Diesel
85,Maruti Suzuki Ertiga,Maruti,2016.0,575000.0,29000.0,Petrol
86,Maruti Suzuki Ertiga,Maruti,2013.0,485000.0,42000.0,Diesel
87,Maruti Suzuki Alto,Maruti,2012.0,155000.0,14000.0,Petrol
88,Hyundai Grand i10,Hyundai,2014.0,345000.0,49000.0,Diesel
89,Honda Amaze 1.2,Honda,2014.0,325000.0,42000.0,Petrol
90,Hyundai i20 Asta,Hyundai,2012.0,329500.0,36200.0,Diesel
91,Ford Figo Diesel,Ford,2014.0,195000.0,50000.0,Diesel
92,Maruti Suzuki Eeco,Maruti,2015.0,251111.0,55000.0,Petrol
93,Maruti Suzuki Ertiga,Maruti,2014.0,569999.0,45000.0,Petrol
94,Maruti Suzuki Esteem,Maruti,2007.0,69999.0,51000.0,Petrol
95,Maruti Suzuki Ritz,Maruti,2014.0,299999.0,19000.0,Petrol
96,Maruti Suzuki Dzire,Maruti,2009.0,220000.0,46000.0,Petrol
97,Maruti Suzuki Ritz,Maruti,2013.0,399999.0,33000.0,Diesel
98,Maruti Suzuki Dzire,Maruti,2015.0,450000.0,104000.0,Diesel
99,Toyota Etios Liva,Toyota,2014.0,270000.0,55000.0,Petrol
100,Hyundai i20 Sportz,Hyundai,2011.0,350000.0,33333.0,Diesel
101,Chevrolet Spark,Chevrolet,2012.0,158400.0,33600.0,Petrol
102,Maruti Suzuki Alto,Maruti,2017.0,350000.0,5600.0,Petrol
103,Nissan Micra XV,Nissan,2011.0,179000.0,41000.0,Petrol
104,Maruti Suzuki Swift,Maruti,2007.0,125000.0,70000.0,Petrol
105,Maruti Suzuki Alto,Maruti,2018.0,200000.0,7500.0,Petrol
106,Honda Amaze 1.5,Honda,2013.0,299000.0,45000.0,Diesel
107,Maruti Suzuki Alto,Maruti,2015.0,220000.0,38000.0,Petrol
108,Chevrolet Beat,Chevrolet,2015.0,150000.0,30000.0,Petrol
109,Toyota Corolla,Toyota,2009.0,275000.0,26000.0,Diesel
110,Honda City 1.5,Honda,2010.0,285000.0,35000.0,Petrol
111,Ford EcoSport Trend,Ford,2016.0,830000.0,24330.0,Diesel
112,Hyundai i20 Asta,Hyundai,2009.0,210000.0,65480.0,Petrol
113,Maruti Suzuki Swift,Maruti,2013.0,340000.0,41000.0,Petrol
114,Tata Indica V2,Tata,2006.0,90000.0,20000.0,Petrol
115,Maruti Suzuki Alto,Maruti,2018.0,,28028.0,Petrol
116,Hindustan Motors Ambassador,Hindustan,2000.0,70000.0,200000.0,Diesel
117,Toyota Corolla Altis,Toyota,2010.0,289999.0,70000.0,Petrol
118,Toyota Corolla Altis,Toyota,2012.0,349999.0,59000.0,Petrol
119,Toyota Innova 2.5,Toyota,2012.0,849999.0,99000.0,Diesel
120,Volkswagen Jetta Highline,Volkswagen,2014.0,749999.0,46000.0,Diesel
121,Volkswagen Polo Comfortline,Volkswagen,2015.0,399999.0,2800.0,Petrol
122,Volkswagen Polo,Volkswagen,2014.0,274999.0,32000.0,Petrol
123,Mahindra Scorpio,Mahindra,2015.0,984999.0,22000.0,Diesel
124,Nissan Sunny,Nissan,2012.0,224999.0,45000.0,Petrol
125,Hyundai Elite i20,Hyundai,2018.0,599999.0,21000.0,Petrol
126,Renault Kwid,Renault,2016.0,244999.0,11000.0,Petrol
127,Renault Duster,Renault,2013.0,399999.0,41000.0,Diesel
128,Renault Duster,Renault,2014.0,474999.0,50000.0,Diesel
129,Mahindra Scorpio VLX,Mahindra,2011.0,499999.0,66000.0,Diesel
130,Maruti Suzuki Alto,Maruti,2018.0,310000.0,3000.0,Petrol
131,Chevrolet Spark LT,Chevrolet,2010.0,85000.0,45000.0,Petrol
132,Datsun Redi GO,Datsun,2016.0,245000.0,7000.0,Petrol
133,Maruti Suzuki Swift,Maruti,2010.0,189500.0,38500.0,Diesel
134,Fiat Punto Emotion,Fiat,2012.0,169500.0,37200.0,Diesel
135,Maruti Suzuki Swift,Maruti,2010.0,159500.0,43200.0,Diesel
136,Toyota Etios GD,Toyota,2013.0,275000.0,24800.0,Petrol
137,Hyundai i20 Sportz,Hyundai,2014.0,370000.0,60000.0,Diesel
138,Hyundai i10 Sportz,Hyundai,2010.0,168000.0,45872.0,Petrol
139,Chevrolet Beat LT,Chevrolet,2011.0,150000.0,40000.0,Diesel
140,Chevrolet Beat LS,Chevrolet,2011.0,145000.0,45000.0,Diesel
141,Chevrolet Beat LT,Chevrolet,2012.0,98500.0,38000.0,Diesel
142,Tata Indigo CS,Tata,2011.0,85000.0,11400.0,Diesel
143,Toyota Corolla Altis,Toyota,2015.0,575000.0,42000.0,Petrol
144,Honda City 1.5,Honda,2014.0,549000.0,39000.0,Petrol
145,Maruti Suzuki Swift,Maruti,2011.0,209000.0,47000.0,Diesel
146,Hyundai Eon Era,Hyundai,2013.0,185000.0,27000.0,Petrol
147,Mahindra Scorpio S10,Mahindra,2015.0,900000.0,97200.0,Diesel
148,Mahindra XUV500,Mahindra,2014.0,699999.0,52000.0,Diesel
149,Ford Fiesta,Ford,2011.0,274999.0,55000.0,Diesel
150,Honda City,Honda,2015.0,599999.0,30000.0,Diesel
151,Maruti Suzuki Wagon,Maruti,2012.0,199999.0,44000.0,Petrol
152,Honda City,Honda,2014.0,544999.0,45000.0,Diesel
153,Hyundai i20,Hyundai,2009.0,199000.0,31000.0,Petrol
154,Tata Indigo eCS,Tata,2016.0,320000.0,175430.0,Diesel
155,Hyundai Fluidic Verna,Hyundai,2015.0,540000.0,38000.0,Diesel
156,"Commercial , DZire",Commercial,,,,Diesel
157,Mahindra Quanto C8,Mahindra,2013.0,340000.0,37000.0,Diesel
158,Fiat Petra ELX,Fiat,2008.0,75000.0,65000.0,Petrol
159,Hyundai Santro Xing,Hyundai,2005.0,49000.0,7500.0,Petrol
160,Maruti Suzuki Ciaz,Maruti,2016.0,700000.0,3350.0,Petrol
161,Maruti Suzuki Zen,Maruti,2000.0,55000.0,60000.0,Petrol
162,Hyundai Creta 1.6,Hyundai,2017.0,895000.0,32000.0,Petrol
163,Tata indigo ecs,Tata,,150000.0,,Diesel
164,Mahindra Scorpio SLX,Mahindra,2007.0,355000.0,75000.0,Diesel
165,Mahindra Scorpio SLE,Mahindra,2012.0,565000.0,62000.0,Diesel
166,Toyota Innova 2.5,Toyota,2006.0,365000.0,73000.0,Diesel
167,Maruti Suzuki Alto,Maruti,2011.0,145000.0,41000.0,Petrol
168,Maruti Suzuki Wagon,Maruti,2011.0,210000.0,35000.0,Petrol
169,Tata Nano Cx,Tata,2013.0,40000.0,2200.0,Petrol
170,Maruti Suzuki Alto,Maruti,2013.0,125000.0,39000.0,Petrol
171,Maruti Suzuki Wagon,Maruti,2009.0,135000.0,45000.0,Petrol
172,Maruti Suzuki Swift,Maruti,2006.0,135000.0,45000.0,Petrol
173,Tata Sumo Victa,Tata,2012.0,285000.0,65000.0,Diesel
174,MARUTI SUZUKI DESI,MARUTI,,400000.0,,Diesel
175,Maruti Suzuki Wagon,Maruti,2010.0,145000.0,54870.0,Petrol
176,Maruti Suzuki Alto,Maruti,2010.0,135000.0,34580.0,Petrol
177,Volkswagen Passat Diesel,Volkswagen,2009.0,450000.0,97000.0,Diesel
178,Renault Scala RxL,Renault,2015.0,375000.0,25000.0,Diesel
179,Hyundai Grand i10,Hyundai,2014.0,365000.0,20000.0,Petrol
180,Hyundai i20 Active,Hyundai,2015.0,500000.0,18000.0,Petrol
181,Mahindra Xylo E4,Mahindra,2012.0,400000.0,35000.0,Diesel
182,Mahindra Jeep MM,Mahindra,2019.0,390000.0,60.0,Diesel
183,Mahindra Bolero SLE,Mahindra,2013.0,330000.0,80200.0,Diesel
184,Force Motors Force,Force,2015.0,580000.0,3200.0,Diesel
185,Maruti Suzuki SX4,Maruti,2012.0,265000.0,46000.0,Diesel
186,Mahindra Jeep CL550,Mahindra,2019.0,379000.0,0.0,Diesel
187,Maruti Suzuki Alto,Maruti,2015.0,219000.0,5000.0,Petrol
188,Mahindra Jeep CL550,Mahindra,2018.0,385000.0,588.0,Diesel
189,Toyota Etios,Toyota,2011.0,275000.0,36000.0,Diesel
190,Volkswagen Polo,Volkswagen,2015.0,330000.0,38000.0,Diesel
191,Honda City ZX,Honda,2008.0,110000.0,45000.0,Petrol
192,Maruti Suzuki Wagon,Maruti,2006.0,80000.0,71200.0,Petrol
193,Honda City VX,Honda,2016.0,519000.0,52000.0,Diesel
194,Mahindra Thar CRDe,Mahindra,2016.0,730000.0,29000.0,Diesel
195,Audi A4 1.8,Audi,2009.0,699000.0,47000.0,Petrol
196,Mercedes Benz GLA,Mercedes,2015.0,2000000.0,20000.0,Diesel
197,Land Rover Freelander,Land,2015.0,2100000.0,30000.0,Diesel
198,Renault Kwid RXT,Renault,2017.0,340000.0,5000.0,Petrol
199,Tata Aria Pleasure,Tata,2014.0,390000.0,35000.0,Diesel
200,Mercedes Benz B,Mercedes,2014.0,1400000.0,31000.0,Petrol
201,Datsun GO T,Datsun,2016.0,245000.0,7000.0,Petrol
202,Tata Indigo eCS,Tata,2016.0,320000.0,175400.0,Diesel
203,Honda Jazz VX,Honda,2016.0,450000.0,41000.0,Petrol
204,Honda Amaze 1.2,Honda,2014.0,311000.0,33000.0,Petrol
205,Honda City,Honda,2012.0,399999.0,45000.0,Petrol
206,Honda City,Honda,2015.0,599999.0,39000.0,Diesel
207,Mahindra Scorpio S4,Mahindra,2015.0,855000.0,30000.0,Diesel
208,Hyundai i20 Active,Hyundai,2015.0,535000.0,37000.0,Diesel
209,Mini Cooper S,Mini,2013.0,1891111.0,13000.0,Petrol
210,Maruti Suzuki Ciaz,Maruti,2017.0,699000.0,14000.0,Petrol
211,Chevrolet Tavera Neo,Chevrolet,2013.0,375000.0,55000.0,Diesel
212,Hyundai Eon Sportz,Hyundai,2012.0,178000.0,30000.0,Petrol
213,Tata Sumo Gold,Tata,2013.0,300000.0,50000.0,Diesel
214,Maruti Suzuki Wagon,Maruti,2003.0,90000.0,45000.0,Petrol
215,Maruti Suzuki Esteem,Maruti,2006.0,95000.0,45000.0,Petrol
216,Maruti Suzuki Eeco,Maruti,2015.0,255000.0,9300.0,Petrol
217,Chevrolet Enjoy 1.4,Chevrolet,2013.0,245000.0,55000.0,Diesel
218,Maruti Suzuki Wagon,Maruti,2015.0,289999.0,22000.0,Petrol
219,Nissan Terrano XL,Nissan,2015.0,499999.0,60000.0,Diesel
220,Renault Duster 85,Renault,2014.0,489999.0,59000.0,Diesel
221,Renault Duster 85,Renault,2015.0,549999.0,19000.0,Diesel
222,Maruti Suzuki Dzire,Maruti,2013.0,380000.0,30000.0,Petrol
223,Renault Kwid RXT,Renault,2018.0,325000.0,15000.0,Petrol
224,Maruti Suzuki Maruti,Maruti,2003.0,57000.0,56758.0,Petrol
225,Renault Kwid 1.0,Renault,2018.0,349999.0,10000.0,Petrol
226,Renault Scala RxL,Renault,2014.0,349999.0,49000.0,Diesel
227,Hyundai Grand i10,Hyundai,2014.0,410000.0,41000.0,Petrol
228,Maruti Suzuki Swift,Maruti,2011.0,225000.0,45000.0,Petrol
229,Chevrolet Beat LS,Chevrolet,2010.0,120000.0,43000.0,Petrol
230,Hyundai Santro Xing,Hyundai,2000.0,59000.0,56450.0,Petrol
231,Chevrolet Beat LS,Chevrolet,2010.0,80000.0,56000.0,Petrol
232,Chevrolet Beat LS,Chevrolet,2015.0,220000.0,32700.0,Petrol
233,Ford EcoSport Titanium,Ford,2016.0,599000.0,30000.0,Diesel
234,Hyundai Accent GLX,Hyundai,2006.0,80000.0,56000.0,Petrol
235,Yama,Yamaha,,55000.0,,Diesel
236,Maruti Suzuki Swift,Maruti,2010.0,,52000.0,Diesel
237,Mahindra TUV300 T4,Mahindra,2016.0,675000.0,9000.0,Diesel
238,Tata Indica V2,Tata,2008.0,150000.0,11000.0,Petrol
239,Tata Indigo CS,Tata,2009.0,72500.0,46000.0,Diesel
240,Maruti Suzuki Swift,Maruti,2019.0,610000.0,73.0,Petrol
241,Mahindra Scorpio VLX,Mahindra,2004.0,230000.0,160000.0,Diesel
242,Tata Indica eV2,Tata,2017.0,,84000.0,Diesel
243,Honda Accord,Honda,2009.0,175000.0,58559.0,Petrol
244,Ford EcoSport Titanium,Ford,2014.0,520000.0,57000.0,Diesel
245,Maruti Suzuki Ertiga,Maruti,2015.0,524999.0,50000.0,Diesel
246,Honda Amaze,Honda,2014.0,299999.0,37000.0,Petrol
247,Maruti Suzuki Dzire,Maruti,2012.0,299999.0,40000.0,Petrol
248,Honda City,Honda,2011.0,284999.0,55000.0,Petrol
249,Mahindra Scorpio 2.6,Mahindra,2007.0,220000.0,170000.0,Diesel
250,Maruti Suzuki Dzire,Maruti,2014.0,424999.0,55000.0,Diesel
251,Honda City,Honda,2015.0,644999.0,39000.0,Petrol
252,Honda Mobilio,Honda,2014.0,399999.0,44000.0,Petrol
253,Toyota Corolla Altis,Toyota,2009.0,199999.0,65000.0,Petrol
254,Honda City,Honda,2014.0,584999.0,39000.0,Petrol
255,Skoda Laura,Skoda,2012.0,349999.0,44000.0,Diesel
256,Renault Duster,Renault,2015.0,449999.0,49000.0,Diesel
257,Maruti Suzuki Ertiga,Maruti,2018.0,799999.0,9000.0,Diesel
258,Maruti Suzuki Dzire,Maruti,2015.0,444999.0,45000.0,Diesel
259,Mahindra XUV500,Mahindra,2014.0,649999.0,47000.0,Diesel
260,Hyundai Verna Fluidic,Hyundai,2012.0,444999.0,40000.0,Diesel
261,Maruti Suzuki Vitara,Maruti,2016.0,689999.0,29000.0,Diesel
